Restaurant,Cuisine,Price_4_two,Star_Rating,Location,Dish_Price,consumer_Rating,Dish_Name,Dish_Category,Link,price_for_two
1522 - The Pub,Chinese,1.367241786816824,4.4,Indiranagar,370.0,1000,Black Ginger Tea 300ml,Unknown,https://www.swiggy.com/restaurants/1522-the-pub-malleshwaram-bangalore-97557,800
1522 - The Pub, North Indian,1.367241786816824,4.4,Indiranagar,370.0,1000,Black Ginger Tea 300ml,Unknown,https://www.swiggy.com/restaurants/1522-the-pub-malleshwaram-bangalore-97557,800
1522 - The Pub, Continental,1.367241786816824,4.4,Indiranagar,370.0,1000,Black Ginger Tea 300ml,Unknown,https://www.swiggy.com/restaurants/1522-the-pub-malleshwaram-bangalore-97557,800
1522 - The Pub, Seafood,1.367241786816824,4.4,Indiranagar,370.0,1000,Black Ginger Tea 300ml,Unknown,https://www.swiggy.com/restaurants/1522-the-pub-malleshwaram-bangalore-97557,800
1522 - The Pub,Chinese,1.367241786816824,4.4,Jayanagar,218.0,20,Chicken Biryani R   (portion Size : 900 Grams Net )   (serves -1),Recommended (14),https://www.swiggy.com/restaurants/1522-the-pub-malleshwaram-bangalore-97557,800
1522 - The Pub, North Indian,1.367241786816824,4.4,Jayanagar,218.0,20,Chicken Biryani R   (portion Size : 900 Grams Net )   (serves -1),Recommended (14),https://www.swiggy.com/restaurants/1522-the-pub-malleshwaram-bangalore-97557,800
1522 - The Pub, Continental,1.367241786816824,4.4,Jayanagar,218.0,20,Chicken Biryani R   (portion Size : 900 Grams Net )   (serves -1),Recommended (14),https://www.swiggy.com/restaurants/1522-the-pub-malleshwaram-bangalore-97557,800
1522 - The Pub, Seafood,1.367241786816824,4.4,Jayanagar,218.0,20,Chicken Biryani R   (portion Size : 900 Grams Net )   (serves -1),Recommended (14),https://www.swiggy.com/restaurants/1522-the-pub-malleshwaram-bangalore-97557,800
1522 The Pub - Residency Road,Chinese,0.6440754486133252,4.2,Rajajinagar,85.0,100,Sweet Lassi,Recommended (9),https://www.swiggy.com/restaurants/1522-the-pub-residency-road-field-marshall-cariappa-road-residency-road-bangalore-335844,600
1522 The Pub - Residency Road, Coastal,0.6440754486133252,4.2,Rajajinagar,85.0,100,Sweet Lassi,Recommended (9),https://www.swiggy.com/restaurants/1522-the-pub-residency-road-field-marshall-cariappa-road-residency-road-bangalore-335844,600
1522 The Pub - Residency Road, Continental,0.6440754486133252,4.2,Rajajinagar,85.0,100,Sweet Lassi,Recommended (9),https://www.swiggy.com/restaurants/1522-the-pub-residency-road-field-marshall-cariappa-road-residency-road-bangalore-335844,600
1522 The Pub - Residency Road, Indian,0.6440754486133252,4.2,Rajajinagar,85.0,100,Sweet Lassi,Recommended (9),https://www.swiggy.com/restaurants/1522-the-pub-residency-road-field-marshall-cariappa-road-residency-road-bangalore-335844,600
1522 The Pub - Residency Road, Tandoor,0.6440754486133252,4.2,Rajajinagar,85.0,100,Sweet Lassi,Recommended (9),https://www.swiggy.com/restaurants/1522-the-pub-residency-road-field-marshall-cariappa-road-residency-road-bangalore-335844,600
1522 The Pub - Residency Road, Pizzas,0.6440754486133252,4.2,Rajajinagar,85.0,100,Sweet Lassi,Recommended (9),https://www.swiggy.com/restaurants/1522-the-pub-residency-road-field-marshall-cariappa-road-residency-road-bangalore-335844,600
1522 The Pub - Residency Road, Pastas,0.6440754486133252,4.2,Rajajinagar,85.0,100,Sweet Lassi,Recommended (9),https://www.swiggy.com/restaurants/1522-the-pub-residency-road-field-marshall-cariappa-road-residency-road-bangalore-335844,600
1522 The Pub - Residency Road, Mangalorean,0.6440754486133252,4.2,Rajajinagar,85.0,100,Sweet Lassi,Recommended (9),https://www.swiggy.com/restaurants/1522-the-pub-residency-road-field-marshall-cariappa-road-residency-road-bangalore-335844,600
1522 The Pub - Residency Road, Sea...,0.6440754486133252,4.2,Rajajinagar,85.0,100,Sweet Lassi,Recommended (9),https://www.swiggy.com/restaurants/1522-the-pub-residency-road-field-marshall-cariappa-road-residency-road-bangalore-335844,600
1522 The Pub - Residency Road,Chinese,0.6440754486133252,4.2,PALACE ROAD,194.0,10,"Spicy Hotshot Pizza [10"" Large]",Unknown,https://www.swiggy.com/restaurants/1522-the-pub-residency-road-field-marshall-cariappa-road-residency-road-bangalore-335844,600
1522 The Pub - Residency Road, Coastal,0.6440754486133252,4.2,PALACE ROAD,194.0,10,"Spicy Hotshot Pizza [10"" Large]",Unknown,https://www.swiggy.com/restaurants/1522-the-pub-residency-road-field-marshall-cariappa-road-residency-road-bangalore-335844,600
1522 The Pub - Residency Road, Continental,0.6440754486133252,4.2,PALACE ROAD,194.0,10,"Spicy Hotshot Pizza [10"" Large]",Unknown,https://www.swiggy.com/restaurants/1522-the-pub-residency-road-field-marshall-cariappa-road-residency-road-bangalore-335844,600
1522 The Pub - Residency Road, Indian,0.6440754486133252,4.2,PALACE ROAD,194.0,10,"Spicy Hotshot Pizza [10"" Large]",Unknown,https://www.swiggy.com/restaurants/1522-the-pub-residency-road-field-marshall-cariappa-road-residency-road-bangalore-335844,600
1522 The Pub - Residency Road, Tandoor,0.6440754486133252,4.2,PALACE ROAD,194.0,10,"Spicy Hotshot Pizza [10"" Large]",Unknown,https://www.swiggy.com/restaurants/1522-the-pub-residency-road-field-marshall-cariappa-road-residency-road-bangalore-335844,600
1522 The Pub - Residency Road, Pizzas,0.6440754486133252,4.2,PALACE ROAD,194.0,10,"Spicy Hotshot Pizza [10"" Large]",Unknown,https://www.swiggy.com/restaurants/1522-the-pub-residency-road-field-marshall-cariappa-road-residency-road-bangalore-335844,600
1522 The Pub - Residency Road, Pastas,0.6440754486133252,4.2,PALACE ROAD,194.0,10,"Spicy Hotshot Pizza [10"" Large]",Unknown,https://www.swiggy.com/restaurants/1522-the-pub-residency-road-field-marshall-cariappa-road-residency-road-bangalore-335844,600
1522 The Pub - Residency Road, Mangalorean,0.6440754486133252,4.2,PALACE ROAD,194.0,10,"Spicy Hotshot Pizza [10"" Large]",Unknown,https://www.swiggy.com/restaurants/1522-the-pub-residency-road-field-marshall-cariappa-road-residency-road-bangalore-335844,600
1522 The Pub - Residency Road, Sea...,0.6440754486133252,4.2,PALACE ROAD,194.0,10,"Spicy Hotshot Pizza [10"" Large]",Unknown,https://www.swiggy.com/restaurants/1522-the-pub-residency-road-field-marshall-cariappa-road-residency-road-bangalore-335844,600
1BHK- BAR HOUSE KITCHEN,Snacks,1.367241786816824,4.4,Rajajinagar,135.0,1000,Chicken Tripal Rice,Unknown,https://www.swiggy.com/restaurants/1bhk-bar-house-kitchen-koramangala-bangalore-499477,800
1BHK- BAR HOUSE KITCHEN, Indian,1.367241786816824,4.4,Rajajinagar,135.0,1000,Chicken Tripal Rice,Unknown,https://www.swiggy.com/restaurants/1bhk-bar-house-kitchen-koramangala-bangalore-499477,800
1BHK- BAR HOUSE KITCHEN, Fast Food,1.367241786816824,4.4,Rajajinagar,135.0,1000,Chicken Tripal Rice,Unknown,https://www.swiggy.com/restaurants/1bhk-bar-house-kitchen-koramangala-bangalore-499477,800
69 DACKER'S LANE,Bengali,-0.6214656432427976,4.1,Shanti Nagar,269.0,5000,Prawns Pepper (8 Pcs),Recommended (1),https://www.swiggy.com/restaurants/69-dackers-lane-2nd-stage-indiranagar-bangalore-445522,250
69 DACKER'S LANE, Biryani,-0.6214656432427976,4.1,Shanti Nagar,269.0,5000,Prawns Pepper (8 Pcs),Recommended (1),https://www.swiggy.com/restaurants/69-dackers-lane-2nd-stage-indiranagar-bangalore-445522,250
7 Plates,Biryani,-0.2598824741410483,4.3,Indiranagar,3100.0,500,Chicken Ghee Roast,Unknown,https://www.swiggy.com/restaurants/7-plates-benson-cross-road-frazer-town-bangalore-37027,350
