Link,Name,Cuisine,Price_4_two,Rating
https://www.swiggy.com/restaurants/kitchens-of-punjab-st-marks-road-central-bangalore-bangalore-496227,Kitchens of Punjab,"Punjabi, North Indian, Thalis, Desserts, Beverages",500,4
https://www.swiggy.com/restaurants/meghana-foods-residency-road-ashok-nagar-bangalore-3241,Meghana Foods,"Biryani, Andhra, South Indian, North Indian, Chinese, Seafood",500,4.5
https://www.swiggy.com/restaurants/california-burrito-cunnigham-road-vasanth-nagar-bangalore-30083,California Burrito,"Mexican, American, Salads, Continental, Keto, Healthy Food",250,4.5
https://www.swiggy.com/restaurants/al-zara-mandi-arabian-restaurant-mm-road-frazer-town-bangalore-264863,Al Zara Mandi Arabian Restaurant,"Arabian, North Indian, Indian, Desserts",500,4.2
https://www.swiggy.com/restaurants/kannur-food-point-sg-palya-tavarekere-bangalore-121603,Kannur Food Point,"Kerala, Chinese",300,3.9
https://www.swiggy.com/restaurants/hotel-empire-brigade-road-bangalore-30531,Hotel Empire,"North Indian, Kebabs, Biryani",450,4.2
https://www.swiggy.com/restaurants/paris-panini-gourmet-sandwiches-church-street-central-bangalore-bangalore-667962,Paris Panini - Gourmet Sandwiches,"Snacks, European, Salads, Beverages, Pastas",500,4.5
https://www.swiggy.com/restaurants/trattoria-by-toscano-mg-road-ashok-nagar-bangalore-605794,Trattoria By Toscano,"Italian, Pizzas, Pastas, Continental, Desserts, Bakery",600,3.9
https://www.swiggy.com/restaurants/royal-restaurant-sulthangunta-shivajinagar-bangalore-210945,Royal Restaurant,"Chinese, North Indian, Tandoor",300,3.9
https://www.swiggy.com/restaurants/burger-king-tasker-town-shivaji-nagar-bangalore-5938,Burger King,"Burgers, American",350,4.1
https://www.swiggy.com/restaurants/leons-burgers-and-wings-leon-grill-indiranagar-bangalore-32603,Leon's - Burgers & Wings (Leon Grill),"American, Snacks, Turkish, Portuguese, Continental",300,4.3
https://www.swiggy.com/restaurants/pizza-hut-oshngnessy-road-langford-town-bangalore-10575,Pizza Hut,Pizzas,600,3.9
https://www.swiggy.com/restaurants/savoury-restaurant-mosque-road-frazer-town-bangalore-80517,Savoury Restaurant,"Arabian, Indian, Chinese, Tandoor, Biryani, Seafood, Kerala",600,4.3
https://www.swiggy.com/restaurants/sri-udupi-park-100ft-road-defence-colony-indiranagar-bangalore-34301,Sri Udupi Park (100ft Road),"South Indian, North Indian, Chaat, Beverages, Chinese",100,4.4
https://www.swiggy.com/restaurants/truffles-ashok-nagar-st-marks-road-bangalore-3369,Truffles,"American, Desserts, Continental, Italian",450,4.4
https://www.swiggy.com/restaurants/raidan-1st-block-r-t-nagar-bangalore-432536,Raidan,"Arabian, Chinese, Beverages, Mughlai",400,3.9
https://www.swiggy.com/restaurants/kailash-parbat-ibrahim-sahib-street-commercial-street-bangalore-564750,Kailash Parbat,"North Indian, Street Food",300,4.1
https://www.swiggy.com/restaurants/rahhams-pulikeshi-nagar-frazer-town-bangalore-574263,Rahhams,"Biryani, Mughlai, North Indian, Kebabs, Chinese, Seafood, Beverages",700,4.3
https://www.swiggy.com/restaurants/la-pinoz-pizza-gandhi-bazaar-main-road-basavanagudi-bangalore-424558,La Pino'z Pizza,Pizzas,220,3.9
https://www.swiggy.com/restaurants/al-bek-sampige-road-malleshwaram-bangalore-252332,Al-Bek,"Arabian, Tandoor, Biryani",500,4.2
https://www.swiggy.com/restaurants/mcdonalds-mg-road-ashok-nagar-bangalore-43836,McDonald's,"Burgers, Beverages, Cafe, Desserts",400,4.2
https://www.swiggy.com/restaurants/madeena-hotel-5th-block-koramangala-bangalore-63957,Madeena Hotel,"Biryani, Mughlai, Indian, Beverages",250,4.1
https://www.swiggy.com/restaurants/vijayalakshmi-bull-temple-rd-basavanagudi-bangalore-96527,Vijayalakshmi,"South Indian, North Indian, Chinese",150,4.1
https://www.swiggy.com/restaurants/hamza-hotel-hkp-road-shivajinagar-bangalore-34269,Hamza hotel,"Continental, Street Food",300,4.2
https://www.swiggy.com/restaurants/donne-biriyani-mane-michael-palya-indiranagar-bangalore-44242,Donne Biriyani Mane,"Biryani, South Indian",700,4.1
https://www.swiggy.com/restaurants/kfc-double-road-shanti-nagar-bangalore-432976,KFC,"Burgers, Biryani, American, Snacks, Fast Food",400,4.1
https://www.swiggy.com/restaurants/nandhana-palace-shivanahalli-rajajinagar-bangalore-18975,Nandhana Palace,"Biryani, Andhra, South Indian, North Indian",500,4.2
https://www.swiggy.com/restaurants/new-taj-darbar-saint-marys-church-road-shivajinagar-bangalore-196047,New Taj Darbar,"Biryani, Indian, Chinese, Tandoor, Seafood",300,3.5
https://www.swiggy.com/restaurants/narmada-chain-of-restaurant-madhavraya-mudaliar-raod-frazer-town-bangalore-620897,NARMADA CHAIN OF RESTAURANT,"Biryani, Andhra, South Indian",500,4.4
https://www.swiggy.com/restaurants/donne-biryani-house-sampige-road-malleshwaram-bangalore-32738,Donne Biryani House,"Biryani, South Indian",300,3.9
https://www.swiggy.com/restaurants/chikpet-donne-biryani-house-palace-guttahalli-palace-guttahalli-seshadripuram-bangalore-222046,Chikpet Donne Biryani House Palace Guttahalli,"Biryani, South Indian",300,4
https://www.swiggy.com/restaurants/mccafe-by-mcdonalds-gandhi-bazaar-main-road-basavangudi-bangalore-457523,McCafe by McDonald's,"Beverages, Desserts",250,
https://www.swiggy.com/restaurants/mcdonalds-gourmet-burger-collection-kasturba-road-mg-road-bangalore-395202,McDonald's Gourmet Burger Collection,"Burgers, Beverages, Cafe, Desserts",600,3.9
https://www.swiggy.com/restaurants/sakkath-dosa-gandhi-bazaar-basavanagudi-bangalore-580194,SAKKATH DOSA,South Indian,150,4.1
https://www.swiggy.com/restaurants/burnout-cafe-infantry-road-bangalore-204587,Burnout Cafe,"Continental, Chinese, Italian, Beverages, Steakhouse",200,
https://www.swiggy.com/restaurants/shawarma-and-grill-house-2nd-block-rajajinagar-bangalore-193313,Shawarma and Grill House,Arabian,200,3.7
